step,element_tag,element_id,kind,demand_ratio,state,mid_y,distance_to_support_m
1,56,M056,SPANDREL,0.04392623769892421,BAJO,-55.3700914625,2.7584848374999993
1,57,M057,SPANDREL,0.05719032,BAJO,-58.1285763,0.0
1,58,M058,SPANDREL,0.04060381338544804,BAJO,-61.6469362,3.5183599
1,59,M059,SPANDREL,0.03946885597106635,BAJO,-65.1652961,7.036719800000007
1,60,M060,SPANDREL,0.04056973933989922,BAJO,-68.683656,10.5550797
1,61,M061,SPANDREL,0.036383620031052236,BAJO,-72.2020159,14.0734396
1,62,M062,SPANDREL,0.038944542066639165,BAJO,-75.7203758,10.555079700000007
1,63,M063,SPANDREL,0.036122987490002645,BAJO,-79.2387357,7.0367198
1,64,M064,SPANDREL,0.04195727383162965,BAJO,-82.75709560000001,3.518359899999993
1,65,M065,SPANDREL,0.05658741000000001,BAJO,-86.2754555,0.0
1,66,M066,SPANDREL,0.04032834918762882,BAJO,-89.67497112500001,3.3995156250000065
1,67,M067,SPANDREL,0.03916813944660521,BAJO,-93.07448675,6.799031249999999
1,68,M068,SPANDREL,0.04021509730383711,BAJO,-96.474002375,10.198546874999991
1,69,M069,SPANDREL,0.03599149861883163,BAJO,-99.873518,13.598062499999997
1,70,M070,SPANDREL,0.03858719981177774,BAJO,-103.27303362500001,10.198546874999991
1,71,M071,SPANDREL,0.03581087035118191,BAJO,-106.67254925,6.799031249999999
1,72,M072,SPANDREL,0.04168849587186588,BAJO,-110.072064875,3.3995156250000065
1,73,M073,SPANDREL,0.055984500000000006,BAJO,-113.4715805,0.0
1,74,M074,DECK_LONG,0.033321211021537095,BAJO,-37.439940018749994,1.379242418749996
1,75,M075,ARCH,0.05400169208986519,BAJO,-37.439940018749994,1.379242418749996
1,76,M076,DECK_LONG,0.032535857248830166,BAJO,-40.19842485625,4.1377272562500025
1,77,M077,ARCH,0.044787904010307605,BAJO,-40.19842485625,4.1377272562500025
1,78,M078,DECK_LONG,0.029295418349524337,BAJO,-42.95690969375,6.896212093750002
1,79,M079,ARCH,0.04726797069264948,BAJO,-42.95690969375,6.896212093750002
1,80,M080,DECK_LONG,0.027316997161526146,BAJO,-45.71539453125,9.654696931250001
1,81,M081,ARCH,0.04418424790424341,BAJO,-45.71539453125,9.654696931250001
1,82,M082,DECK_LONG,0.026099903228586862,BAJO,-48.47387936875,9.654696931250001
1,83,M083,ARCH,0.04232892178695793,BAJO,-48.47387936875,9.654696931250001
1,84,M084,DECK_LONG,0.0302210239845804,BAJO,-51.23236420625,6.896212093750002
1,85,M085,ARCH,0.041553484683538124,BAJO,-51.23236420625,6.896212093750002
1,86,M086,DECK_LONG,0.030859767632981348,BAJO,-53.99084904375,4.137727256249995
1,87,M087,ARCH,0.04982278583696971,BAJO,-53.99084904375,4.137727256249995
1,88,M088,DECK_LONG,0.03406041877457459,BAJO,-56.749333881249996,1.3792424187500032
1,89,M089,ARCH,0.05512853317681257,BAJO,-56.749333881249996,1.3792424187500032
1,90,M090,DECK_LONG,0.037260937832876144,BAJO,-59.887756249999995,1.7591799499999965
1,91,M091,ARCH,0.05139870424614389,BAJO,-59.887756249999995,1.7591799499999965
1,92,M092,DECK_LONG,0.030821292031565174,BAJO,-63.40611615,5.277539850000004
1,93,M093,ARCH,0.04232894727962634,BAJO,-63.40611615,5.277539850000004
1,94,M094,DECK_LONG,0.028066635489920017,BAJO,-66.92447605000001,8.795899750000011
1,95,M095,ARCH,0.04534189901441037,BAJO,-66.92447605000001,8.795899750000011
1,96,M096,DECK_LONG,0.02640832743837765,BAJO,-70.44283595,12.314259650000004
1,97,M097,ARCH,0.04277263399889673,BAJO,-70.44283595,12.314259650000004
1,98,M098,DECK_LONG,0.02970936836817486,BAJO,-73.96119585,12.314259650000011
1,99,M099,ARCH,0.040936606784317695,BAJO,-73.96119585,12.314259650000011
1,100,M100,DECK_LONG,0.028973473470208223,BAJO,-77.47955575,8.795899750000004
1,101,M101,ARCH,0.039743280386106646,BAJO,-77.47955575,8.795899750000004
1,102,M102,DECK_LONG,0.029199118766745955,BAJO,-80.99791565000001,5.277539849999997
1,103,M103,ARCH,0.04720186732728091,BAJO,-80.99791565000001,5.277539849999997
1,104,M104,DECK_LONG,0.032388779542693244,BAJO,-84.51627555000002,1.7591799499999894
1,105,M105,ARCH,0.052495885124961436,BAJO,-84.51627555000002,1.7591799499999894
1,106,M106,DECK_LONG,0.03663196318429004,BAJO,-87.97521331250002,1.6997578125000103
1,107,M107,ARCH,0.05041826606890655,BAJO,-87.97521331250002,1.6997578125000103
1,108,M108,DECK_LONG,0.030286093239199247,BAJO,-91.37472893750001,5.099273437500003
1,109,M109,ARCH,0.04887068823572162,BAJO,-91.37472893750001,5.099273437500003
1,110,M110,DECK_LONG,0.027498732354709426,BAJO,-94.7742445625,8.498789062499995
1,111,M111,ARCH,0.044482428370599306,BAJO,-94.7742445625,8.498789062499995
1,112,M112,DECK_LONG,0.025812058688407493,BAJO,-98.1737601875,11.898304687499987
1,113,M113,ARCH,0.04186644467194122,BAJO,-98.1737601875,11.898304687499987
1,114,M114,DECK_LONG,0.029116716721179388,BAJO,-101.57327581250001,11.898304687499987
1,115,M115,ARCH,0.04002840563756332,BAJO,-101.57327581250001,11.898304687499987
1,116,M116,DECK_LONG,0.028407781358170892,BAJO,-104.9727914375,8.498789062499995
1,117,M117,ARCH,0.045868173802705206,BAJO,-104.9727914375,8.498789062499995
1,118,M118,DECK_LONG,0.0286567780965841,BAJO,-108.3723070625,5.099273437500003
1,119,M119,ARCH,0.046386976128076574,BAJO,-108.3723070625,5.099273437500003
1,120,M120,DECK_LONG,0.03735459675241717,BAJO,-111.77182268749999,1.6997578125000103
1,121,M121,ARCH,0.05151984163007593,BAJO,-111.77182268749999,1.6997578125000103
1,122,M122,SPANDREL,0.05555385000000001,BAJO,-36.0606976,0.0
1,123,M123,SPANDREL,0.04070357911176231,BAJO,-38.8191824375,2.7584848374999993
1,124,M124,SPANDREL,0.03933537868195255,BAJO,-41.577667274999996,5.516969674999999
1,125,M125,SPANDREL,0.040016802031373436,BAJO,-44.3361521125,8.275454512500005
1,126,M126,SPANDREL,0.03550466396486277,BAJO,-47.094636949999995,11.033939349999997
1,127,M127,SPANDREL,0.0383672544667214,BAJO,-49.8531217875,8.275454512499998
1,128,M128,SPANDREL,0.04232690424514311,BAJO,-52.611606625,5.516969674999999
1,129,M129,SPANDREL,0.042104735019224,BAJO,-55.3700914625,2.7584848374999993
1,130,M130,SPANDREL,0.054950940000000004,BAJO,-58.1285763,0.0
1,131,M131,SPANDREL,0.04567929005862904,BAJO,-61.6469362,3.5183599
1,132,M132,SPANDREL,0.0378578822579616,BAJO,-65.1652961,7.036719800000007
1,133,M133,SPANDREL,0.03900473455824138,BAJO,-68.683656,10.5550797
1,134,M134,SPANDREL,0.034832842783827055,BAJO,-72.2020159,14.0734396
1,135,M135,SPANDREL,0.03737953728498133,BAJO,-75.7203758,10.555079700000007
1,136,M136,SPANDREL,0.04077002704703557,BAJO,-79.2387357,7.0367198
1,137,M137,SPANDREL,0.04019777525159357,BAJO,-82.75709560000001,3.518359899999993
1,138,M138,SPANDREL,0.054348030000000006,BAJO,-86.2754555,0.0
1,139,M139,SPANDREL,0.045428899253517785,BAJO,-89.67497112500001,3.3995156250000065
1,140,M140,SPANDREL,0.0375516765488088,BAJO,-93.07448675,6.799031249999999
1,141,M141,SPANDREL,0.03864749231148364,BAJO,-96.474002375,10.198546874999991
1,142,M142,SPANDREL,0.03443962637324353,BAJO,-99.873518,13.598062499999997
1,143,M143,SPANDREL,0.03701959481942427,BAJO,-103.27303362500001,10.198546874999991
1,144,M144,SPANDREL,0.04047374409482538,BAJO,-106.67254925,6.799031249999999
1,145,M145,SPANDREL,0.0399203051823577,BAJO,-110.072064875,3.3995156250000065
1,146,M146,SPANDREL,0.05374512000000001,BAJO,-113.4715805,0.0
1,147,M147,DECK_CROSS,0.038817225000000004,BAJO,-36.0606976,0.0
1,148,M148,DECK_CROSS,0.02851670716208977,BAJO,-38.8191824375,2.7584848374999993
1,149,M149,DECK_CROSS,0.027513934338435474,BAJO,-41.577667274999996,5.516969674999999
1,150,M150,DECK_CROSS,0.02795066706771503,BAJO,-44.3361521125,8.275454512500005
1,151,M151,DECK_CROSS,0.02486309532380215,BAJO,-47.094636949999995,11.033939349999997
1,152,M152,DECK_CROSS,0.026825975546361368,BAJO,-49.8531217875,8.275454512499998
1,153,M153,DECK_CROSS,0.02517047620866337,BAJO,-52.611606625,5.516969674999999
1,154,M154,DECK_CROSS,0.02947204073535911,BAJO,-55.3700914625,2.7584848374999993
1,155,M155,DECK_CROSS,0.03840615,BAJO,-58.1285763,0.0
1,156,M156,DECK_CROSS,0.027223011247061748,BAJO,-61.6469362,3.5183599
1,157,M157,DECK_CROSS,0.026488125475087696,BAJO,-65.1652961,7.036719800000007
1,158,M158,DECK_CROSS,0.0272507825617343,BAJO,-68.683656,10.5550797
1,159,M159,DECK_CROSS,0.024400341302494046,BAJO,-72.2020159,14.0734396
1,160,M160,DECK_CROSS,0.026142693511784262,BAJO,-75.7203758,10.555079700000007
1,161,M161,DECK_CROSS,0.0284736787403654,BAJO,-79.2387357,7.0367198
1,162,M162,DECK_CROSS,0.028145825187640125,BAJO,-82.75709560000001,3.518359899999993
1,163,M163,DECK_CROSS,0.03799507500000001,BAJO,-86.2754555,0.0
1,164,M164,DECK_CROSS,0.02703291534921156,BAJO,-89.67497112500001,3.3995156250000065
1,165,M165,DECK_CROSS,0.02628165200962687,BAJO,-93.07448675,6.799031249999999
